,name,ra,dec,velocity,redshift,flag
28056,WISEA J094507.83+013150.2,146.28265,1.5306,--,--,
28057,WISEA J094554.63+013159.6,146.47786,1.53355,--,--,
28058,WISEA J094630.95+012511.4,146.62896,1.41971,--,--,
28059,WISEA J094530.37+015454.2,146.37659,1.91503,--,--,
28060,SDSS J094546.49+015100.2,146.44371,1.85008,--,--,
28061,WISEA J094547.10+015102.3,146.44629,1.8505,--,--,
28062,WISEA J095935.37+032058.9,149.8974,3.34972,18391.0,0.061347,SPEC
28063,WISEA J100005.60+030958.4,150.02346,3.1663,--,--,
28064,WISEA J095933.38+031535.6,149.88909,3.2599,--,--,
28065,WISEA J100002.09+030859.5,150.00876,3.15001,--,--,
28066,SDSS J100015.73+032015.2,150.06558,3.33757,--,--,
28067,WISEA J100016.13+032012.2,150.06721,3.33673,--,--,
28068,WISEA J100016.27+032016.9,150.06781,3.33804,30958.0,0.103266,SPEC
28069,WISEA J100015.70+032506.7,150.06542,3.4185,--,--,
28070,SDSS J100016.03+032511.2,150.06683,3.41978,--,--,
28071,WISEA J100032.42+031903.6,150.13512,3.3177,30573.0,0.101981,SPEC
28072,WISEA J100038.46+032434.4,150.16034,3.40954,--,--,
28073,WISEA J100045.26+032746.4,150.18859,3.46287,29591.0,0.098705,SPEC
28074,WISEA J100047.37+032715.5,150.19744,3.45435,--,--,
28075,WISEA J100028.30+031723.3,150.11794,3.28983,--,--,
28076,SDSS J100028.37+031725.4,150.11823,3.29041,--,--,
28077,SDSS J095947.83+032045.7,149.94933,3.34603,--,--,
28078,WISEA J095947.86+032038.3,149.94944,3.344,31104.0,0.103753,SPEC
28079,WISEA J095948.04+032452.3,149.95016,3.41453,29587.0,0.098692,SPEC
28080,SDSS J095948.65+032455.9,149.95272,3.41554,--,--,
28081,WISEA J095948.04+032452.3,149.95016,3.41453,29587.0,0.098692,SPEC
28082,SDSS J095948.65+032455.9,149.95272,3.41554,--,--,
28083,WISEA J100053.25+031906.4,150.222,3.31836,--,--,
