objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
587742571611423357,169.74196006,18.70222695,0.9714830000000028,2.2325909999999993,3.611536000000001,1.3789450000000016,0.6546610000000008,0.4426937449243383,0.058,0.965562,NGC3626,19.5,0.959655,Possible compact galaxies,247.853410382944,-12.08618005681259,22.251245,20.018654,19.047171,19.363993,18.639709,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742571611423357
587726033318117527,170.40439617,2.8877778,1.2594010000000004,1.903497999999999,3.499962,1.596464000000001,0.8550300000000028,0.4410434665051307,0.048462,1.0,NGC3630,25.0,0.809059,Possible compact galaxies,31.40562424517435,-14.01482404336019,20.733404,18.829906,17.570505,17.974876,17.233442,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587726033318117527
587728309640102061,170.57345468,3.0530589,0.8963639999999984,1.448238,2.608895999999998,1.160657999999998,0.6368369999999999,0.3763445875344446,0.058103,0.967437,NGC3641,25.9,0.932222,Possible compact galaxies,84.4777844455498,-13.48802282040626,20.663551,19.215313,18.318949,18.578476,18.054655,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587728309640102061
587738948289626730,170.72265165,39.89964176,0.9938070000000003,1.5352099999999993,2.7113039999999984,1.176093999999999,0.6348249999999993,0.4183720178330236,0.063965,0.749805,NGC3648,31.9,0.956061,Possible compact galaxies,65.0558585440816,-12.226677415285906,22.462311,20.927101,19.933294,20.292276,19.751007,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587738948289626730
588017978351485028,171.22806979,38.77902608,1.2404960000000003,1.8120650000000005,3.3567660000000004,1.5447009999999999,0.8377940000000024,0.452373284884597,0.055148,0.732797,NGC3665,33.1,0.939718,Known galaxies,62.68816742559264,-14.209815968878598,21.039183,19.227118,17.986622,18.389324,17.682417,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017978351485028
587739305286238242,172.23917143,35.41456614,0.926562999999998,2.0688100000000027,3.225964000000001,1.1571539999999985,0.7905119999999997,0.4231750270504815,0.076975,0.981412,NGC3694,35.2,0.845657,Possible compact galaxies,84.56920055984759,-12.114509317390656,23.477526,21.408716,20.482153,20.618204,20.251562,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739305286238242
587738615415832626,172.18068363,35.65000348,0.7647899999999979,1.4253220000000013,2.5153409999999994,1.090018999999998,0.5617029999999978,0.4019180978281116,0.062187,1.0,NGC3694,35.2,0.761045,Possible compact galaxies,84.67940371308921,-13.331390317390651,21.388348,19.963026,19.198236,19.401323,18.873007,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587738615415832626
587739305286238306,172.16204827,35.49335432,1.023251000000002,1.624732999999999,2.896635,1.2719020000000008,0.6542890000000021,0.4270713515979795,0.062198,0.552297,NGC3694,35.2,0.958567,Possible compact galaxies,175.39702959636088,-13.968585317390655,21.04315,19.418417,18.395166,18.764128,18.146515,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739305286238306
587729386076831946,174.07506724,58.76740789,1.2779600000000002,2.038820000000001,3.6647619999999996,1.6259419999999984,0.931597,0.4666742671800218,0.100034,0.706622,NGC3757,22.6,0.965657,Possible compact galaxies,44.44157098125334,-12.627415195737008,22.113544,20.074724,18.796764,19.143127,18.448782,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587729386076831946
587731869633740905,178.502345,55.17421048,0.859057,1.33568,2.3443819999999995,1.0087019999999995,0.49943199999999877,0.3685724240636794,0.073091,0.956983,NGC3998,13.7,0.86736,Possible compact galaxies,71.74655296335811,-12.23424683578203,20.284468,18.948788,18.089731,18.449356,17.940086,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731869633740905
587731869633806415,178.80129981,55.1477443,1.0835529999999984,1.7114890000000003,3.068064999999999,1.3565759999999987,0.713438,0.3771027731387983,0.045596,0.837198,NGC3998,13.7,0.926531,Possible compact galaxies,114.10777886354973,-14.199622835782034,18.908907,17.197418,16.113865,16.48398,15.840842,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731869633806415
587731870170742833,178.94767143,55.58571552,0.9158499999999989,1.3003399999999985,2.413231999999997,1.1128919999999987,0.5561089999999993,0.3839106152729025,0.077326,0.797492,NGC3998,13.7,0.938876,Possible compact galaxies,63.50948652587799,-13.027358835782032,19.512693,18.212353,17.296503,17.656244,17.099461,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731870170742833
587734893290520971,181.22428819,10.38683192,1.3096689999999995,2.1906950000000016,3.781380000000002,1.5906850000000006,0.8791869999999982,0.4706966310747817,0.080516,0.714619,NGC4078,38.1,0.770253,Possible compact galaxies,132.89766622954266,-12.792766878378092,23.18174,20.991045,19.681376,20.111858,19.40036,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734893290520971
587732772128686629,181.16661002,10.43934081,0.9878269999999993,2.082526999999999,3.2247139999999987,1.1421869999999998,0.6713050000000003,0.4574111812753543,0.05821,1.0,NGC4078,38.1,0.689446,Possible compact galaxies,48.66586201804511,-12.124702878378097,23.533754,21.451227,20.4634,20.779922,20.30904,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732772128686629
588017722254557296,181.53400773,43.48992586,1.1446889999999996,1.9379559999999998,3.3539449999999995,1.4159889999999997,0.7748179999999998,0.3883576545472725,0.064449,0.805532,NGC4111,14.6,0.890243,Possible compact galaxies,87.92813967881499,-13.135248278922184,20.39929,18.461334,17.316645,17.686516,17.045345,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017722254557296
588017721717686374,181.451008,42.92951291,1.201076999999998,1.8366930000000004,3.2791829999999997,1.4424899999999994,0.8183879999999988,0.4547916190292804,0.063705,0.50559,NGC4111,14.6,0.957583,Possible compact galaxies,29.45912169218416,-12.085737278922185,21.391108,19.554415,18.353338,18.736027,18.111925,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017721717686374
588017729224573478,183.49234953,7.40506455,0.8202269999999992,1.8634069999999987,2.943393999999998,1.0799869999999991,0.5259129999999992,0.4914850670681105,0.049879,0.736549,NGC4191,39.2,0.403354,Possible compact galaxies,263.3361260224423,-12.047799335102289,23.307951,21.444544,20.624317,20.918631,20.364557,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017729224573478
587739506616959029,183.77094104,33.19724026,1.0425450000000005,2.136955999999998,3.4669419999999977,1.329986,0.421914000000001,0.4612993684261435,0.08027,0.622721,NGC4203,14.7,0.934773,Possible compact galaxies,49.38934490139812,-16.512733673740883,16.882723,14.745767,13.703222,14.323853,13.415781,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739506616959029
588010360161960141,184.58588744,5.76239379,1.2677670000000028,1.8416879999999978,3.407432,1.5657440000000022,0.8762889999999999,0.4245578285855501,0.075177,0.592825,NGC4249,38.7,0.999761,Possible compact galaxies,107.9803046697334,-13.617530825094557,22.039001,20.197313,18.929546,19.321024,18.631569,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588010360161960141
587741722819887130,184.91678577,28.17612664,1.3622260000000015,2.0404529999999994,3.675612000000001,1.6351590000000016,0.9096919999999997,0.4797333897896758,0.082571,0.536469,NGC4251,19.1,0.978776,Possible compact galaxies,140.04567901058084,-15.119235836238634,19.236076,17.195623,15.833397,16.285931,15.560464,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741722819887130
587741602568863941,184.76214104,28.10177266,1.2385959999999976,1.9690919999999998,3.4756909999999976,1.5065989999999978,0.8295530000000007,0.3649815070585595,0.062164,0.738114,NGC4251,19.1,0.934539,Possible compact galaxies,131.09378660778808,-14.035863836238637,20.167948,18.198856,16.96026,17.369303,16.692257,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741602568863941
587741603105603732,184.3656028,28.44461354,1.024077000000002,1.9574619999999996,3.1964760000000005,1.239014000000001,0.6140310000000007,0.3903099348197418,0.072396,1.0,NGC4251,19.1,0.865604,Possible compact galaxies,266.1123785423898,-13.248107836238637,20.728552,18.77109,17.747013,18.157059,17.532076,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741603105603732
588010359625220154,184.83371809,5.29784504,1.0062640000000016,1.5826719999999987,2.805768999999998,1.2230969999999992,0.6755150000000008,0.4598432378045149,0.04393,0.694214,NGC4259,37.2,0.999888,Possible compact galaxies,88.34516418395019,-13.11515669940949,21.995745,20.413073,19.406809,19.737558,19.189976,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588010359625220154
588010359625154750,184.68616218,5.2343779,1.2034890000000011,2.2591189999999983,3.5442789999999995,1.2851600000000012,0.848745000000001,0.4523731745396004,0.112168,0.681243,NGC4259,37.2,0.66931,Possible compact galaxies,142.3560449638352,-13.598573699409489,22.362005,20.102886,18.899397,19.254141,18.817726,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588010359625154750
588010359625155184,184.68497868,5.241581,1.1393509999999978,2.289885999999999,3.7332549999999998,1.4433690000000006,0.8186339999999994,0.4790322394549336,0.07397,0.626112,NGC4259,37.2,0.730597,Possible compact galaxies,287.65506355146925,-13.11326969940949,22.847965,20.558079,19.418728,19.739445,19.11471,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588010359625155184
588010359625285910,184.95549021,5.23834057,1.0428609999999985,1.4884099999999982,2.8036629999999967,1.3152529999999985,0.6781240000000004,0.4373666958121906,0.061007,0.587251,NGC4259,37.2,0.928293,Possible compact galaxies,128.05701264813726,-12.95317669940949,22.066072,20.577662,19.534801,19.899538,19.262409,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588010359625285910
588010879298044287,184.72934311,5.20148619,1.0697759999999974,2.1489580000000004,3.5116499999999995,1.3626919999999991,0.731344,0.4553776842492035,0.067584,1.0,NGC4259,37.2,0.713889,Possible compact galaxies,224.40206665479843,-12.18405169940949,23.548965,21.400007,20.330231,20.668663,20.037315,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588010879298044287
588010879834980398,184.91207882,5.53040831,0.8261189999999985,1.7082669999999993,2.72513,1.0168630000000007,0.578125,0.310671953742621,0.064603,0.828849,NGC4259,37.2,0.605053,Possible compact galaxies,125.97087020659193,-13.05253569940949,22.086571,20.378304,19.552185,19.800179,19.361441,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588010879834980398
