,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
850,587735348565377148,161.86604103,13.88871514,0.9971539999999983,1.927821999999999,3.464967999999999,1.537146,0.7270530000000015,0.4636748477182866,0.066318,0.524066,NGC3377,10.9,0.887305,Possible compact galaxies,436.9103590939989,-12.59209148970312,20.249916,18.322094,17.32494,17.595041,16.784948,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735348565377148
871,587734949669830708,162.11948914,12.14204072,1.0175499999999982,1.7377340000000032,2.9471680000000013,1.2094339999999981,0.6633089999999982,0.3321294563251624,0.065766,1.0,NGC3379,10.3,0.923594,Possible compact galaxies,81.35097598714184,-13.86418512352586,18.601044,16.86331,15.84576,16.200001,15.653876,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734949669830708
916,588017705070100577,161.53452614,12.61637904,1.1503489999999985,1.7371410000000012,3.142192999999999,1.4050519999999977,0.7453199999999978,0.4315776980034532,0.061447,0.599369,NGC3379,10.3,0.896869,Possible compact galaxies,433.7052393212312,-14.75534712352586,17.7913,16.054159,14.90381,15.308839,14.649107,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017705070100577
919,587734950206767278,162.17154631,12.42429527,1.1430129999999998,1.6825229999999998,3.060382999999998,1.3778599999999983,0.7456969999999998,0.4120031344000867,0.060945,0.655521,NGC3379,10.3,0.983813,Possible compact galaxies,92.53202963435542,-12.16169312352586,20.330713,18.64819,17.505177,17.902493,17.27033,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734950206767278
945,587741490369659415,162.57327311,28.22892711,0.660619999999998,1.4291780000000003,2.6117209999999993,1.182542999999999,0.49736799999999803,0.4228436282769824,0.051655,0.504103,NGC3400,24.7,0.731241,Possible compact galaxies,226.9778866575037,-12.260586766298328,21.629444,20.200266,19.539646,19.702898,19.017723,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741490369659415
974,587735348565770341,162.82392266,13.94598959,0.8643219999999996,1.5824649999999991,2.6334789999999995,1.0510140000000003,0.5680540000000001,0.3160562258945796,0.052296,1.0,NGC3412,11.0,0.990185,Possible compact galaxies,299.5420698477482,-17.111077425791127,15.246405,13.66394,12.799618,13.095886,12.612926,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735348565770341
977,587738409257140245,163.05112186,13.09737882,0.7251779999999997,1.7170270000000016,3.281637,1.5646099999999983,0.6077559999999984,0.4978305654787255,0.053386,1.0,NGC3412,11.0,0.712138,Possible compact galaxies,199.2029263139427,-13.439917425791126,19.091829,17.374802,16.649624,16.767046,15.810192,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587738409257140245
1004,587741489832919402,163.01984039,27.89364511,0.8289309999999972,1.2434350000000016,2.291073000000001,1.0476379999999992,0.5037149999999997,0.4135297820022509,0.063604,0.616976,NGC3414,24.5,0.999919,Possible compact galaxies,220.78678973096535,-12.998879421822664,20.694101,19.450666,18.621735,18.946951,18.403028,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741489832919402
1036,587742571608866904,163.54644826,17.87522764,0.8171880000000016,1.2631669999999993,2.338591000000001,1.0754240000000017,0.5186400000000013,0.3925913493557279,0.049114,0.740594,NGC3457,20.1,0.840644,Possible compact galaxies,173.85536564651736,-13.820465287102444,19.477322,18.214155,17.396967,17.695515,17.138731,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742571608866904
1041,587742775625711681,163.93171346,17.42808238,1.1724430000000012,1.9009520000000002,3.3356630000000003,1.434711,0.8049369999999989,0.4324858093777806,0.065404,0.752454,NGC3457,20.1,0.872016,Possible compact galaxies,78.22108953205161,-14.151358287102443,20.070511,18.169559,16.997116,17.364622,16.734848,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742775625711681
1055,587729385537470858,163.76117933,57.08668619,0.9873580000000004,1.9128599999999985,3.112759999999998,1.1998999999999995,0.6627490000000016,0.462799510963796,0.057656,0.734636,NGC3458,30.9,0.366674,Possible compact galaxies,114.5435593255492,-12.722299397124171,22.303102,20.390242,19.402884,19.727493,19.190342,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587729385537470858
1074,587735348029947915,165.26548695,13.82936781,0.8728900000000017,1.6143779999999985,2.7207869999999996,1.106409000000001,0.588394000000001,0.3352524126559233,0.061049,0.806681,NGC3489,11.7,0.675927,Possible compact galaxies,207.730060315763,-14.859554308730807,17.684147,16.069769,15.196879,15.481375,14.96336,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735348029947915
1124,587731891111658077,166.02797594,56.32330315,0.9228939999999994,1.0621110000000016,2.224743,1.1626319999999986,0.571472,0.4451807913324944,0.1053,0.572337,NGC3499,26.4,0.794726,Possible compact galaxies,142.06306948345966,-12.119560634349156,21.622042,20.559931,19.637037,19.988459,19.397299,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731891111658077
1131,587731890574786604,166.11433668,56.02198851,0.9980570000000029,1.8569490000000002,3.2498630000000013,1.392914000000001,0.5673300000000019,0.3945683189825097,0.070151,0.968354,NGC3499,26.4,0.516559,Possible compact galaxies,216.4650284424318,-12.590096634349155,21.942202,20.085253,19.087196,19.517923,18.692339,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731890574786604
1156,587729385538257335,167.03206658,57.46863081,0.9248070000000013,1.7631960000000007,2.9650089999999985,1.2018129999999978,0.6823300000000003,0.3798365065678597,0.081185,0.776061,NGC3530,31.2,0.924978,Possible compact galaxies,128.88041434693477,-12.657744970092214,22.258554,20.495358,19.570551,19.813028,19.293545,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587729385538257335
1162,587731501336494500,166.73081738,57.09571604,0.749645000000001,1.1257319999999993,2.272083000000002,1.1463510000000028,0.5290950000000016,0.3700610274326821,0.062034,0.587963,NGC3530,31.2,0.456436,Possible compact galaxies,160.5290701819187,-12.372170970092212,21.753429,20.627697,19.878052,20.098602,19.481346,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731501336494500
1166,587731891648987530,167.49858487,57.06930616,0.9374010000000013,1.8749520000000004,2.9753020000000028,1.1003500000000024,0.628145,0.4942240589864415,0.050627,1.0,NGC3530,31.2,0.724122,Possible compact galaxies,451.0616817904664,-12.762676970092212,22.211193,20.336241,19.39884,19.708096,19.235891,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731891648987530
1180,587731892185792914,167.13690714,57.37663683,1.0623840000000015,1.734296999999998,3.0284259999999996,1.2941290000000016,0.6745780000000003,0.3804472595534344,0.068852,0.677069,NGC3530,31.2,0.791569,Possible compact galaxies,125.46783015371297,-12.696091970092212,22.183556,20.449259,19.386875,19.774681,19.15513,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731892185792914
1192,587731892185727067,166.83494119,57.31344164,1.328054999999999,2.126937999999999,3.854616,1.727678000000001,0.8693519999999992,0.4451659505177289,0.08304,0.502457,NGC3530,31.2,0.291794,Possible compact galaxies,206.1840990333904,-13.505367970092212,21.961695,19.834757,18.506702,18.965405,18.107079,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587731892185727067
1196,588017112365138081,168.68824285,47.34604374,1.3114910000000002,2.286674999999999,3.901249,1.614574000000001,0.9424840000000003,0.4571919558412445,0.096985,0.850947,NGC3595,34.7,0.743554,Possible compact galaxies,100.3342854500208,-13.547091373954371,22.383715,20.09704,18.785549,19.154556,18.482466,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017112365138081
1200,588017112365138521,168.71526773,47.37873473,0.7911150000000013,1.7724340000000005,3.129972000000002,1.3575380000000017,0.7318420000000003,0.4054173718165854,0.067393,0.765271,NGC3595,34.7,0.608833,Possible compact galaxies,173.38937659629687,-12.065241373954372,23.140682,21.368248,20.577133,20.636406,20.01071,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017112365138521
1209,588017112365269124,168.99164649,47.37600425,0.9072839999999971,1.2388970000000015,2.329535,1.0906379999999984,0.5364609999999992,0.4384460014754225,0.079356,0.673671,NGC3595,34.7,0.85598,Possible compact galaxies,109.41882475994868,-13.813528373954371,20.663477,19.42458,18.517296,18.888119,18.333942,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017112365269124
1214,588297865801564858,168.61010833,47.44843337,1.2302140000000001,2.033704,3.616022000000001,1.5823180000000008,0.8234519999999996,0.353614832326541,0.065974,1.0,NGC3595,34.7,0.980097,Possible compact galaxies,125.38460133144538,-12.845331373954371,22.713472,20.679768,19.449554,19.856316,19.09745,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588297865801564858
1222,588297865801564379,168.49110017,47.46346165,1.3366419999999977,2.1454060000000013,3.798135000000002,1.6527290000000008,0.9059829999999991,0.4355484362894002,0.078532,0.941314,NGC3595,34.7,0.970306,Possible compact galaxies,41.25035636659115,-12.863800373954373,22.889236,20.74383,19.407188,19.837847,19.091101,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588297865801564379
1223,588297865801564383,168.53169458,47.40695438,1.269081,2.369211,3.936976999999999,1.5677659999999989,0.8178750000000008,0.416401466665279,0.08378,0.539152,NGC3595,34.7,0.766014,Possible compact galaxies,164.32666031948207,-12.339743373954374,23.54899,21.179779,19.910698,20.361904,19.612013,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588297865801564383
1225,588297865801564645,168.50891998,47.47404809,1.1649150000000006,1.9710980000000013,3.386649000000002,1.4155510000000007,0.7915080000000003,0.410752100042269,0.068643,0.960475,NGC3595,34.7,0.797377,Possible compact galaxies,79.17742301222026,-12.717415373954374,22.746838,20.77574,19.610825,19.984232,19.360189,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588297865801564645
1234,587742571611095116,168.8745387,18.4992417,0.8943210000000015,1.1565109999999983,2.2695159999999994,1.1130050000000011,0.528965000000003,0.4305368947442493,0.078909,0.686998,NGC3599,19.8,0.967507,Possible compact galaxies,50.18537374833096,-12.772771951307655,20.39603,19.239519,18.345198,18.710554,18.126514,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742571611095116
