objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link
1237654786780037303,187.8759655,8.110160457,1.25833,2.09016,3.66256,1.5724,0.85931,2.01178,2.28178,5.05078,8.14478,0.4620900681,0.067585,0.1782363,NGC4472,17.14,0.5483333,Contaminant,445.2179016,-14.49918409,19.62034,17.53018,16.27185,16.67087,15.95778,13.946,13.676,10.907,7.813,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786780037303
1237661976548409482,187.8344827,8.178267624,1.5216,1.81423,3.6882,1.87397,1.07982,2.11075,2.35275,4.21875,7.03075,0.4275970729,0.140798,0.7058926,NGC4472,17.14,0.8461684,Contaminant,228.9995307,-14.28815409,19.77595,17.96172,16.44012,16.8819,16.08775,13.977,13.735,11.869,9.057,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548409482
1237661972260454534,187.6555332,8.061059053,1.31002,1.7534,3.39407,1.64067,0.87105,2.04676,2.24976,5.13376,7.38976,0.3617298708,0.082344,0.6595826,NGC4472,17.14,0.4240511,Contaminant,377.350264,-14.68367409,19.11083,17.35743,16.04741,16.48638,15.71676,13.67,13.467,10.583,8.327,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454534
1237661972260454544,187.6770089,8.058176255,1.0353,1.38411,2.6511,1.26699,0.68997,1.47315,1.67415,5.16415,6.62115,0.4273776481,0.063034,0.6068661,NGC4472,17.14,0.8467637,Contaminant,487.7175351,-14.99988409,18.24425,16.86014,15.82484,16.17017,15.59315,14.12,13.919,10.429,8.972,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454544
1237661976548212911,187.3411043,8.289229277,1.21466,1.17051,2.65642,1.48591,0.7695,2.41136,2.82636,5.99436,7.93936,0.3297903858,0.166585,1,NGC4472,17.14,0.9213564,Contaminant,161.5075385,-13.58928409,19.52078,18.35027,17.13561,17.58077,16.86436,14.453,14.038,10.87,8.925,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548212911
1237661976548212937,187.39942,8.317945058,1.2077,1.70626,3.18764,1.48138,0.80888,2.27941,2.35041,4.38441,7.69741,0.4052434126,0.077678,0.9125907,NGC4472,17.14,0.6359317,Contaminant,75.9611411,-13.77014409,19.91505,18.20879,17.00109,17.39991,16.72741,14.448,14.377,12.343,9.03,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548212937
1237661976548278369,187.4350424,8.238146498,1.24105,1.55086,3.08344,1.53258,0.80972,2.35326,2.54726,6.09326,8.94626,0.4402173846,0.107417,0.236471,NGC4472,17.14,0.6269805,Contaminant,214.498213,-13.42193409,20.1087,18.55784,17.31679,17.74812,17.02526,14.672,14.478,10.932,8.079,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548278369
1237661976548147398,187.1793819,8.262896031,1.21238,1.72291,3.24975,1.52684,0.82831,1.6623,2.0483,4.9293,7.5053,0.4861438973,0.074125,0.4511117,NGC4472,17.14,0.7606554,Contaminant,305.9273139,-13.82022409,19.90105,18.17814,16.96576,17.34983,16.6513,14.989,14.603,11.722,9.146,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548147398
1237654786779840677,187.3700814,8.066444178,1.53634,1.76396,3.64431,1.88035,1.09609,2.17212,2.28412,3.91512,7.67212,0.4032792809,0.150372,0.6785595,NGC4472,17.14,0.8630234,Contaminant,209.4887399,-14.13767409,19.89243,18.12847,16.59213,17.03238,16.24812,14.076,13.964,12.333,8.576,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786779840677
1237661976548081858,187.1039444,8.270572482,1.25589,1.66575,3.24846,1.58271,0.85276,2.29629,2.48629,5.37229,7.90229,0.3691222766,0.084658,0.9031222,NGC4472,17.14,0.617527,Contaminant,158.7989928,-14.18281409,19.50575,17.84,16.58411,16.98724,16.25729,13.961,13.771,10.885,8.355,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548081858
1237661976548081848,187.0984388,8.197006151,1.23898,1.75221,3.30603,1.55382,0.85161,1.9012,2.0622,4.6812,7.3812,0.3390971945,0.06839,1,NGC4472,17.14,0.5068599,Contaminant,313.6831935,-14.26464409,19.50923,17.75702,16.51804,16.90541,16.2032,14.302,14.141,11.522,8.822,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548081848
1237661976548278402,187.4679634,8.329603818,0.936,1.22865,2.4674,1.23875,0.58484,1.68052,1.86152,5.54852,7.56952,0.3638926597,0.035264,0.2892822,NGC4472,17.14,0.2889621,Contaminant,546.431866,-15.17962409,17.80392,16.57527,15.63927,15.99043,15.33652,13.656,13.475,9.788,7.767,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548278402
1237661972797260042,187.5812855,8.340104138,1.33828,2.16838,3.78871,1.62033,0.92906,1.96567,2.17767,3.67967,6.98267,0.4203568074,0.086039,0.9152773,NGC4472,17.14,0.6601889,Contaminant,365.9686467,-14.71211409,19.55538,17.387,16.04872,16.45794,15.76667,13.801,13.589,12.087,8.784,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972797260042
1237661972797194421,187.413264,8.427362228,1.39217,1.56647,3.33484,1.76837,0.9224,2.11223,2.43623,5.67323,7.68823,0.3773385768,0.124265,0.5677381,NGC4472,17.14,0.2311333,Contaminant,560.1362019,-14.06385409,19.59507,18.0286,16.63643,17.1062,16.26023,14.148,13.824,10.587,8.572,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972797194421
1237661972797325583,187.6162692,8.437517116,1.32996,1.73335,3.35367,1.62032,0.91994,2.14451,2.30251,4.46451,7.86751,0.3944332894,0.118028,0.8984545,NGC4472,17.14,0.6672331,Contaminant,220.0032473,-14.12216409,19.70118,17.96783,16.63787,17.04789,16.34751,14.203,14.045,11.883,8.48,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972797325583
1237661972797194390,187.3705912,8.486219663,1.48792,1.79941,3.61129,1.81188,1.0585,2.48727,2.64327,4.54927,7.95527,0.3759992098,0.1466,0.9574261,NGC4472,17.14,0.5709541,Contaminant,111.2148334,-13.44440409,20.58356,18.78415,17.29623,17.72565,16.97227,14.485,14.329,12.423,9.017,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972797194390
1237661972797259928,187.4582213,8.395154543,1.36381,2.02594,3.69567,1.66973,0.86962,2.48966,2.84366,5.78266,8.33466,0.4662991772,0.11195,0,NGC4472,17.14,0.3058645,Contaminant,261.9078222,-13.43528409,20.63033,18.60439,17.24058,17.73477,16.93466,14.445,14.091,11.152,8.6,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972797259928
1237661972797260060,187.4786821,8.425669953,0.90556,1.17185,2.28644,1.11459,0.55841,1.61061,1.59161,4.90061,8.18261,0.5173802657,0.087876,0.1168014,NGC4472,17.14,0.7431808,Contaminant,448.3072565,-13.88626409,19.01405,17.8422,16.93664,17.28379,16.72761,15.117,15.136,11.827,8.545,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972797260060
1237661972797194413,187.4104245,8.36442202,0.84655,1.24002,2.29676,1.05674,0.5597,1.59791,1.83691,4.53591,7.37591,0.4482466542,0.047145,0,NGC4472,17.14,0.7436583,Contaminant,340.0620244,-14.26110409,18.70867,17.46865,16.6221,16.90895,16.41191,14.814,14.575,11.876,9.036,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972797194413
1237661972797194364,187.3243491,8.432807405,1.15119,1.41322,2.81692,1.4037,0.78687,2.42976,2.54676,5.27576,8.20376,0.3917922202,0.138959,0.87854,NGC4472,17.14,0.7251705,Contaminant,52.94314245,-13.40046409,19.96968,18.55646,17.40527,17.76959,17.15276,14.723,14.606,11.877,8.949,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972797194364
1237661972797325625,187.7003307,8.331830886,1.19604,1.60388,3.077,1.47312,0.81555,2.35903,2.30903,4.52803,7.57303,0.3875859941,0.086261,0.8739138,NGC4472,17.14,0.5743502,Contaminant,94.38757757,-13.66845409,19.92103,18.31715,17.12111,17.5016,16.84403,14.485,14.535,12.316,9.271,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972797325625
1237655126083174663,184.854987,5.565750772,0.98658,1.28563,2.50941,1.22378,0.61019,2.24969,2.49969,5.91869,8.38669,0.4459963279,0.083429,0.09474662,NGC4261,29.4,0.8073888,Contaminant,318.8215705,-14.90245665,19.3351,18.04947,17.06289,17.43928,16.82569,14.576,14.326,10.907,8.439,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237655126083174663
1237655126083174699,184.9074535,5.588312166,0.79713,1.19849,2.1893,0.99081,0.47643,2.02384,2.34084,5.72684,8.14984,0.4453462962,0.070716,0.2722156,NGC4261,29.4,0.8409356,Contaminant,600.295511,-15.03251665,18.98414,17.78565,16.98852,17.30922,16.79484,14.771,14.454,11.068,8.645,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237655126083174699
1237654606410219580,184.6440233,5.741051351,1.3992,1.97578,3.7232,1.74742,0.95039,1.98489,2.05689,3.42789,6.07689,0.3578363223,0.0771,0.8880926,NGC4261,29.4,0.6413839,Contaminant,744.5092362,-16.79981665,18.46809,16.49231,15.09311,15.54192,14.74489,12.76,12.688,11.317,8.668,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654606410219580
