,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link
1897,1237674598926188596,181.92307110383,10.3817934682654,1.3642600000000016,1.9011500000000012,3.5490600000000008,1.6479099999999995,0.9409899999999993,2.39208,2.4410800000000012,4.223080000000001,7.16108,0.3492737000812282,0.095023,0.9726516,NGC4119,16.5,0.4095477,Possible contaminants,184.2888172902929,-14.095419721069533,19.83414,17.93299,16.56873,16.992,16.28508,13.893,13.844,12.062,9.124,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237674598926188596
1898,1237674598926123042,181.744747902713,10.2828147159303,1.3084699999999998,1.8828199999999988,3.479420000000001,1.5966000000000022,0.8862500000000004,2.242559999999999,2.393559999999999,3.47856,7.189559999999998,0.3325562190236018,0.075055,0.9830103,NGC4119,16.5,0.5255186,Possible contaminants,153.36263908090217,-14.278509721069533,19.57798,17.69516,16.38669,16.80891,16.09856,13.856,13.705,12.62,8.909,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237674598926123042
1899,1237674598926123179,181.803634779678,10.2495197642205,1.4857099999999974,1.9433100000000003,3.768069999999998,1.8247599999999977,1.046129999999998,2.3148300000000006,2.4908300000000008,4.033830000000002,7.493830000000001,0.35708435216577633,0.134183,0.9101431,NGC4119,16.5,0.991012,Possible contaminants,114.73109807746121,-13.670959721069533,20.4059,18.46259,16.97688,17.41646,16.63783,14.323,14.147,12.604,9.144,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237674598926123179
1900,1237671128593924245,182.005748751689,10.2201310633602,1.4670699999999997,1.9140900000000016,3.674100000000003,1.7600100000000012,1.0437699999999985,2.4281599999999983,2.5991599999999995,4.731159999999999,8.09916,0.3604976367023501,0.14561,0.9565535,NGC4119,16.5,0.4205176,Possible contaminants,111.66538903447923,-13.431019721069532,20.61426,18.70017,17.2331,17.6564,16.94016,14.512,14.341,12.209,8.841,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128593924245
1901,1237658493353853190,181.833417725063,10.429272774722,1.3082899999999995,1.9686200000000014,3.5711900000000014,1.60257,0.9376299999999986,2.379859999999999,2.59586,4.956859999999999,8.51886,0.3822289814476826,0.116965,0.8576677,NGC4119,16.5,0.4926673,Possible contaminants,70.28180978337653,-12.767619721069533,21.22605,19.25743,17.94914,18.3198,17.65486,15.275,15.059,12.698,9.136,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658493353853190
1902,1237658492817178698,182.173296090679,10.1345286508778,1.4245800000000006,2.06316,3.8406900000000004,1.7775300000000005,1.010200000000001,2.263629999999999,2.395629999999999,3.49263,6.273629999999999,0.2993457141945173,0.110017,1.0,NGC4119,16.5,0.7890084,Possible contaminants,202.9231125830474,-14.848459721069535,19.31232,17.24916,15.82458,16.23896,15.47163,13.208,13.076,11.979,9.198,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658492817178698
1903,1237674598389317847,182.178991606822,10.2314859933316,1.463429999999999,1.9557199999999995,3.770579999999999,1.8148599999999995,0.9971899999999998,2.08301,2.22701,3.1650099999999988,6.91001,0.3719819484851081,0.102888,1.0,NGC4119,16.5,0.9170167,Possible contaminants,278.0801972164238,-14.557739721069535,19.48259,17.52687,16.06344,16.52968,15.71201,13.629,13.485,12.547,8.802,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237674598389317847
1904,1237658492817178808,182.280083483419,10.1376336225406,1.4474400000000003,1.8692700000000002,3.67323,1.80396,1.0045900000000003,2.2396600000000007,2.405660000000001,3.9876600000000018,7.294660000000002,0.3298973533365634,0.114978,1.0,NGC4119,16.5,0.8393641,Possible contaminants,181.17499383405388,-13.937389721069533,20.02389,18.15462,16.70718,17.15003,16.35066,14.111,13.945,12.363,9.056,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658492817178808
1905,1237658492817178717,182.17346299478,10.1467109556901,1.1768499999999982,1.6462800000000009,3.1316500000000005,1.4853699999999996,0.7803199999999997,1.9613299999999985,2.0783299999999993,4.569329999999999,7.7913299999999985,0.4016912748262882,0.077209,0.7534255,NGC4119,16.5,0.7379581,Possible contaminants,225.22557864375116,-13.759039721069534,19.75498,18.1087,16.93185,17.32838,16.62333,14.662,14.545,12.054,8.832,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237658492817178717
1906,1237671128593924215,182.052087902826,10.1695037617875,1.0463399999999972,2.0228900000000003,3.2154999999999987,1.1926099999999984,0.7707899999999981,1.5172100000000004,1.2582100000000018,4.5972100000000005,8.52321,0.4430587930355907,0.094186,0.9523301,NGC4119,16.5,0.1606837,Possible contaminants,30.30366399877665,-13.318389721069533,20.56271,18.53982,17.49348,17.76903,17.34721,15.83,16.089,12.75,8.824,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237671128593924215
