,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link,spec_z
36,1237661972260454534,187.655533233808,8.06105905273344,1.3100200000000015,1.7533999999999992,3.3940699999999993,1.64067,0.8710500000000003,2.046760000000001,2.24976,5.1337600000000005,7.389760000000001,0.36172987075661783,0.082344,0.6595826,NGC4472,17.14,0.4240511,Possible contaminants,377.3502639516042,-14.683674087935898,19.11083,17.35743,16.04741,16.48638,15.71676,13.67,13.467,10.583,8.327,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454534,0.08908129
37,1237661972260454544,187.677008940902,8.05817625531073,1.0353000000000012,1.3841099999999997,2.6511000000000013,1.2669900000000016,0.6899700000000024,1.4731500000000004,1.6741499999999991,5.164149999999999,6.62115,0.42737764814394075,0.063034,0.6068661,NGC4472,17.14,0.8467637,Possible contaminants,487.71753514699503,-14.9998840879359,18.24425,16.86014,15.82484,16.17017,15.59315,14.12,13.919,10.429,8.972,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454544,0.0887627
38,1237661976548278304,187.522151836225,8.21595743399792,1.0141100000000005,1.4284199999999991,2.7278599999999997,1.2994400000000006,0.6621400000000008,1.6940000000000008,1.8520000000000003,4.796000000000001,6.851000000000001,0.4124055268523467,0.049227,0.0,NGC4472,17.14,0.3216578,Possible contaminants,513.5335459657025,-14.892754087935899,18.36786,16.93944,15.92533,16.2773,15.64,13.946,13.788,10.844,8.789,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548278304,0.03867531
39,1237654786779840584,187.395804357461,8.05798754750807,1.3069900000000008,1.8398599999999998,3.4349600000000002,1.5951000000000004,0.9088000000000012,2.1209000000000007,1.9779,2.738900000000001,5.597900000000001,0.37925925565626817,0.071438,0.7500415,NGC4472,17.14,0.8679141,Known galaxies,217.74923210731095,-16.1028540879359,17.81586,15.976,14.66901,15.0672,14.3809,12.26,12.403,11.642,8.783,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786779840584,0.004643397
40,1237661976548212911,187.341104295965,8.28922927668925,1.2146599999999985,1.1705100000000002,2.656419999999997,1.485909999999997,0.7694999999999972,2.411360000000002,2.826360000000001,5.994360000000002,7.939360000000001,0.32979038579045095,0.166585,1.0,NGC4472,17.14,0.9213564,Possible contaminants,161.50753851867526,-13.589284087935898,19.52078,18.35027,17.13561,17.58077,16.86436,14.453,14.038,10.87,8.925,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548212911,0.1391349
41,1237661976548212937,187.399420018623,8.31794505804469,1.207699999999999,1.7062600000000003,3.187640000000002,1.4813800000000015,0.808880000000002,2.2794099999999986,2.3504099999999983,4.384409999999999,7.69741,0.4052434126318577,0.077678,0.9125907,NGC4472,17.14,0.6359317,Possible contaminants,75.96114110369626,-13.7701440879359,19.91505,18.20879,17.00109,17.39991,16.72741,14.448,14.377,12.343,9.03,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548212937,0.08896898
42,1237661976548278369,187.435042398563,8.23814649848253,1.2410499999999978,1.5508600000000001,3.0834399999999995,1.5325799999999994,0.8097199999999987,2.353259999999999,2.5472599999999996,6.093259999999999,8.946259999999999,0.4402173845704617,0.107417,0.236471,NGC4472,17.14,0.6269805,Possible contaminants,214.49821295841463,-13.421934087935899,20.1087,18.55784,17.31679,17.74812,17.02526,14.672,14.478,10.932,8.079,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548278369,0.08964393
43,1237661976548147398,187.179381920714,8.26289603125576,1.2123799999999996,1.7229100000000024,3.2497500000000024,1.52684,0.8283099999999983,1.6622999999999983,2.0482999999999993,4.9293,7.505299999999998,0.4861438973099785,0.074125,0.4511117,NGC4472,17.14,0.7606554,Possible contaminants,305.9273138589924,-13.820224087935898,19.90105,18.17814,16.96576,17.34983,16.6513,14.989,14.603,11.722,9.146,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548147398,0.1232106
44,1237654786779840677,187.370081420827,8.06644417832706,1.5363399999999992,1.7639600000000009,3.644310000000001,1.88035,1.0960900000000002,2.1721199999999996,2.2841199999999997,3.91512,7.67212,0.40327928090051984,0.150372,0.6785595,NGC4472,17.14,0.8630234,Possible contaminants,209.48873993535398,-14.137674087935899,19.89243,18.12847,16.59213,17.03238,16.24812,14.076,13.964,12.333,8.576,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786779840677,0.1274159
45,1237661976548081779,187.003518985049,8.18559041427047,1.2670399999999997,1.8127700000000004,3.4025700000000008,1.5898000000000003,0.856440000000001,1.829039999999999,1.82104,3.98804,5.829039999999999,0.33662807680223183,0.043883,1.0,NGC4472,17.14,0.5150551,Possible contaminants,524.8657420030618,-16.2436540879359,17.59561,15.78284,14.5158,14.9264,14.19304,12.364,12.372,10.205,8.364,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976548081779,0.03769605
